Nome do Evento;Link de Inscrição;Link da Imagem;Data;Cidade;Distância;Organizador
Noroeste Run Sunset;https://brasilcorrida.com.br/#/evento/noroeste-run-sunset;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-65c5c6da87c819773e03ba479566ca4329145a82.jpg;28 de Junho de 2025;BRASÍLIA;0,80 Km, 00 Km, 3km, 3 km, 3,00 Km, 6km, 6 km, 6,00 Km, 80 Km;ONE RUN BRASIL
;https://brasilcorrida.com.br/#/evento/noroeste-run-sunset;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-65c5c6da87c819773e03ba479566ca4329145a82.jpg;;;0,80 Km, 00 Km, 3km, 3 km, 3,00 Km, 6km, 6 km, 6,00 Km, 80 Km;
Noroeste Run Sunset;https://brasilcorrida.com.br/#/evento/noroeste-run-sunset;;28 de Junho de 2025;BRASÍLIA;0,80 Km, 00 Km, 3km, 3 km, 3,00 Km, 6km, 6 km, 6,00 Km, 80 Km;ONE RUN BRASIL
;https://api.whatsapp.com/send?text=https%3A%2F%2Fbrasilcorrida.com.br%2F%23%2Fevento%2Fnoroeste-run-sunset;;;;;
CORRIDA 20º ANIVERSÁRIO DO SIA;https://brasilcorrida.com.br/#/evento/corrida-20-aniversario-do-sia;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-ce1e2cfc74115cf6e7bd7828f75f1428b01c83d4.png;06 de Julho de 2025;BRASÍLIA;00 Km, 5Km, 5 KM, 5,00 Km, 5km, 5KM, 10,00 Km, 10KM, 10 KM, 10Km, 10km;Sesc-DF
;https://brasilcorrida.com.br/#/evento/corrida-20-aniversario-do-sia;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-ce1e2cfc74115cf6e7bd7828f75f1428b01c83d4.png;;;00 Km, 5Km, 5 KM, 5,00 Km, 5km, 5KM, 10,00 Km, 10KM, 10 KM, 10Km, 10km;
CORRIDA 20º ANIVERSÁRIO DO SIA;https://brasilcorrida.com.br/#/evento/corrida-20-aniversario-do-sia;;06 de Julho de 2025;BRASÍLIA;00 Km, 5Km, 5 KM, 5,00 Km, 5km, 5KM, 10,00 Km, 10KM, 10 KM, 10Km, 10km;Sesc-DF
;https://api.whatsapp.com/send?text=https%3A%2F%2Fbrasilcorrida.com.br%2F%23%2Fevento%2Fcorrida-20-aniversario-do-sia;;;;;
CATS RUN - BRASÍLIA 2025;https://brasilcorrida.com.br/#/evento/cats-run---brasilia-2025;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-867f239599a3a883a0376f57869ecb5cdee91c18.jpg;13 de Julho de 2025;BRASÍLIA;00 Km, 3Km, 3,00 Km, 5Km, 5,00 Km, 5km, 5KM;ATP MKT Esportivo
;https://brasilcorrida.com.br/#/evento/cats-run---brasilia-2025;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-867f239599a3a883a0376f57869ecb5cdee91c18.jpg;;;00 Km, 3Km, 3,00 Km, 5Km, 5,00 Km, 5km, 5KM;
