Nome do Evento;Link de Inscrição;Link da Imagem;Data;Cidade;Distância;Organizador
CORRIDA NACIONAL DO SESI;https://www.onsportsoficial.com.br/evento/2025/corrida-de-rua/corrida-sesi-paraiba;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/126f0a68533d4d66a750db25151deb9f.png;Campina Grande;;5km e 10km (corrida);SESI NACIONAL
CIRCUITO MUSIC RUN ETAPA FORRÓ;https://zeniteesportes.com/circuitomusicrunforro;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/fa06a7a356d141a5a68597ee90f1fb9c.png;03 de Maio de 2025;João Pessoa;5km e 10km (corrida);ZENITE ESPORTES
CIRCUITO GÊNESIS ETAPA UIRAÚNA;https://www.correparaiba.com/evento/genesis;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/6234663ef5f84a0caaecf55240f27267.png;03 de Maio de 2025;PREFEITURA MUNICIPAL l CORRE PARAÍBA;5km (corrida);
TRUN ETAPA ARARUNA;https://www.race83.com.br/evento/3079/trun-etapa-araruna-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/9f8bf887072a42229a19c4ac770a270d.png;04 de Maio de 2025;10km, 18km, 28km e 56km (corrida - trail - ultra);;TRUN
V CORRIDA DO TRABALHADOR DA CIDADE DE PATOS;https://www.correparaiba.com/evento/5867/v-corrida-do-trabalhador-da-cidade-de-patos;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/fef6cc58058a4d8b80639091088f70dc.png;10 de Maio de 2025;Patos;5km e 10km (corrida);AL PRODUÇÃO DE EVENTOS ESPORTIVOS
1ª HYPER RUN;https://www.correparaiba.com/evento/hyper-run;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/3172b86c72c14ad1b884fdf1e95ff57b.png;11 de Maio de 2025;Água Branca;5km (corrida);HYPER SUPLEMENTS
21K DO CONDE ROTA DOS MIRANTES;https://www.race83.com.br/evento/2025/corrida-de-rua/21k-do-conde;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/b2d8e2b4bad94839b7684c9973b206ab.png;Conde;;7km, 12km e 21km (corrida);MOVE IT SPORTS
CIRCUITO DE CIRRIDAS ZONA SUL ETAPA MANGABEIRA;https://www.atletis.com.br/evento/circuito-de-corridas-zona-sul-etapa-mangabeira-9229;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/8455f7b94906480aa8d2a5f6c6e39c34.png;11 de Maio de 2025;João Pessoa;5km (corrida);GLEYDSON DE AZEVEDO MACEDO
3ª CORRIDA DE EMANCIPAÇÃO POLÍTICA DE CATOLÉ DO ROCHA;https://www.correparaiba.com/evento/catoledorocha;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/a75730b858144530b0c89bdb465b3305.png;17 de Maio de 2025;Catolé doRocha;5km (corrida);PREFEITURA MUNICIPAL
CORRIDA VIVER MULHER 2ª EDIÇÃO;https://tiquet.com.br/evento/2025-13-corrida-viver-mulher-2a-edicao/;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/bdd8b38927e948369f22fc742cb0b292.png;Campina Grande;3km e 5km (corrida - feminina);3km (caminhada);ANDREZA VELEZ
CIRCUITO MIX;https://www.sympla.com.br/evento/corrida-mix-2025-5km-conde-pb/2910152;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/a198406729c8493597f4ffc76a0589e6.png;Conde;INSTITUTO ACOLHER l AGÊNCIA MIX;5km (corrida);
1ª CORRIDA EJC;https://www.084sports.com.br/evento/corridacuitegi;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/cef98fb302ec45f3a01b32749fb97ad8.png;18 de Maio de 2025;Cuitegi;5km (corrida);PARÓQUIA NOSSA SENHORA DO ROSÁRIO
GIRL POWER RUN;https://www.girlpowerseries.com.br/joao-pessoa/;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/a672d59ea95d4215a0efbd3b79acf7f3.png;18 de Maio de 2025;5km e 10km (corrida - feminina);;TTK MARKETING
3ª EDIÇÃO DO TRAIL RUN SERTÃO;https://www.correparaiba.com/evento/1571/3-traulrunsertao;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/d223a6ab8e2c4b4d8bffb8f74fe29b80.png;São José de Piranhas;10km (corrida - trail);2,5km (caminhada);CORRE PARAÍBA
CORRIDA AMIGOS DE MARIA PEREIRA;https://zeniteesportes.com/amigosdemariapereira2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/cd35402288b74142956d88a9fc53ca53.png;01 de Junho de 2025;Guarabira;5km (corrida);GRUPO REAL SUPERMERCADOS
TRAIL SERIES ETAPA PICO DO JABRE;https://www.atletis.com.br/evento/trail-series-2025-etapa-pico-do-jabre-4018;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/c7323623aec54a53bd3d318464119554.png;01 de Junho de 2025;3km, 7km e 15km (corrida - trail);;JAYJAY FITNESS
1ª CORRIDA POCINHOS EM MOVIMENTO;https://www.084sports.com.br/evento/pocinhosemmovimento;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/b0ae3ba19514444db9a90b05cb080f27.png;08 de Junho de 2025;João Pessoa;3km e 6km (corrida);EQUIPE POCINHOS RUNNERS
MEIA MARATONA JAMPA 21K SUNRISE;https://zeniteesportes.com/jampa21ksunrise;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/4417ec51d3874a47834d9ba44f80bca9.png;08 de Junho de 2025;João Pessoa;5km, 10km e 21km (corrida);ZENITE ESPORTES
CORRIDA DAS NEVES;https://www.race83.com.br/evento/2025/corrida-de-rua/corrida-das-neves;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/8b76e8f5fab34f209e70a6c3e01d92a7.png;15 de Junho de 2025;João Pessoa;5km e 10km (corrida);PARÓQUIA DE NOSSA SENHORA DAS NEVES
CORRIDA EXTREMO ORIENTAL;https://zeniteesportes.com/corridaextremooriental;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/b7b3a18c21354bab9b7a10468138e338.png;15 de Junho de 2025;João Pessoa;5km e 10km (corrida);ZENITE ESPORTES
TRAIL RUN SÃO SALVADOR;https://www.race83.com.br/evento/2025/corrida-de-rua/trail-run-so-salvador-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/7fef3455f4ad4c75945d03ad03a45968.png;15 de Junho de 2025;5km, 10km e 18km (corrida - trail);;ACLIVE SPORTS
IPG RUN;https://zeniteesportes.com/ipgrun;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/da6d6c4d1afc48a8a4145b9b7f68944f.png;29 de Junho de 2025;Guarabira;5km (corrida);IGREJA PRESBITRIANA DE GUARABIRA
MEIA DOS PARQUES;https://www.race83.com.br/evento/2025/corrida-de-rua/meia-dos-parques-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/e106d3d70c264ee58d72c65fe07e6729.png;29 de Junho de 2025;3km (canicross);6km, 12km e 21km (corrida);TRCRONO EVENTOS ESPORTIVOS
CIRCUITO DAS ESTAÇÕES INVERNO;https://www.circuitodasestacoes.com.br/paraiba/inverno/;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/c411005ec8cd44fd83701902c7f79d02.png;06 de Julho de 2025;João Pessoa;5km e 10km (corrida);TTK MARKETING
CIRCUITO DAS ÁGUAS ETAPA CAMPINA GRANDE;https://www.race83.com.br/evento/circuito-das-aguas-etapa-campina-grande-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/e8bcb319d1af41a09822d70e26278133.png;Campina Grande;;5km e 10km (corrida);MOVE IT SPORTS
5 MILHAS NIGHT ROCK;https://www.race83.com.br/evento/5-milhas-night-rock-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/7f32d61cd60f44e085602bbb03244d54.png;12 de Julho de 2025;João Pessoa;5km e 8km (corrida);MAGNATA RUNNER
1ª CORRIDA DA BIO FITNESS;https://www.correparaiba.com/evento/biofitness;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/4f565af34d944073a0a0369b1f96e87a.png;19 de Julho de 2025;Carrapateira;5km (corrida);ACADEMIA BIO FITNESS
5K CORRE JP;https://www.race83.com.br/evento/2025/corrida-de-rua/5k-corre-jp;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/26b83c3403d84e1daeeef7c933d56efe.png;19 de Julho de 2025;João Pessoa;5km (corrida);CORRE JP
4ª EDIÇÃO DO LITORAL EXTREMO ETAPA BAÍA DA TRAIÇÃO;https://www.correparaiba.com/evento/1364/4-edio-do-litoral-extremo-etapa-baa-da-traio-pb;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/185227009e4a4289ac49fbdaf2fd01f3.png;20 de Julho de 2025;7km e 15km (corrida - trail);4km (caminhada);WW ADVENTURE RUN
3ª CORRIDA ITA RUNNING;https://www.race83.com.br/evento/2025/corrida-de-rua/3-corrida-ita-running;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/5a486ffdc2a143aa8297d34f2592fe0e.png;20 de Julho de 2025;Itabaiana;5km e 10km (corrida);CORRE JP
CIRCUITO MUSIC RUN ETAPA SAMBA;https://zeniteesportes.com/circuitomusicrunsamba;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/42abaab303a04e5e98f17070246f8598.png;20 de Julho de 2025;João Pessoa;5km e 10km (corrida);ZENITE ESPORTES
4ª CORRIDA DO CHOQUEANO;https://www.race83.com.br/evento/2637/4-corrida-do-choqueano;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/b59745a78f044cdfa560dfe07cb0fea3.png;27 de Julho de 2025;5ª CIA DO BOPE;5km e 10km (corrida);
5ª MARATONA INTERNACIONAL DE JOÃO PESSOA;https://www.race83.com.br/evento/2025/corrida-de-rua/maratona-internacional-de-joao-pessoa-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/1debe66dbbba46fba3294b252b41c612.png;02 e 03 de Agosto de 2025;PREFEITURA MUNICIPAL l TRCRONO EVENTOS ESPORTIVOS;5km, 10km, 21km e 42km (corrida);
1ª CORRIDA DA MIX EMBALAGENS;https://www.084sports.com.br/evento/corridamixembalagens;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/6f707ff36b5744fcbdb9aa75947988c7.png;Campina Grande;;7km (corrida);MIX EMBALAGENS l RUPTURA RUN
CIRCUITO DE CORRIDAS DE RUA DA ADVOCACIA ETAPA JOÃO PESSOA;https://www.race83.com.br/evento/2025/corrida-de-rua/circuito-de-corridas-de-rua-da-advocacia-etapa-joo-pessoa;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/52bb17bec6bf425a965e906c213bec5b.png;09 de Agosto de 2025;João Pessoa;5km e 10km (corrida);CAA-PB
CORRIDA DA VITÓRIA;https://www.race83.com.br/evento/2025/corrida-de-rua/corrida-da-vitoria;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/e2fbdfae6c7d4861860b65fc1f3ee368.png;17 de Agosto de 2025;Guarabira;5km (corrida);CISOL GUARABIRA
CORRIDA VEM CUIDAR DE MIM;https://www.race83.com.br/evento/5829/vem-cuidar-de-mim-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/e4be8e476a8349c29528f9e064d6644b.png;17 de Agosto de 2025;500m (infantil);5km e 10km (corrida);INSTITUTO VEM CUIDAR DE MIM
BEATS RUN SUNSET;https://www.race83.com.br/evento/2025/corrida-de-rua/beats-run-sunset;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/20361f61532548cc84af54c3f47b485e.png;23 de Agosto de 2025;João Pessoa;5km (corrida);CANTALOUPE ORGANIZAÇÃO DE EVENTOS
CAIXA CORRIDAS PELO NORDESTE ETAPA CAMPINA GRANDE;https://www.ticketsports.com.br/e/caixa-corridas-pelo-nordeste-campina-grande-pb-71813;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/4deca6b7b2904baeb02bdf1db3b7aa76.png;Campina Grande;;5km e 10km (corrida);ZENITE ESPORTES
